,Unnamed: 0,Pothole number,Bags used ,area
124,124,1052,1.05,52683.03617914447
126,126,1055,0.5,13927.727430914749
127,127,1056,0.25,11268.316071650344
128,128,1058,2.0,23219.56039006737
129,129,1059,0.25,19600.144194037704
130,130,1060,1.0,28557.611707594024
131,131,1061,0.5,20720.152433697003
132,132,1062,0.5,1066.7001260551035
133,133,1063,0.25,10606.883854336578
134,134,1064,0.25,9157.362115515716
136,136,1069,0.5,93128.58722485242
137,137,1070,0.5,506.0377467047757
138,138,1071,0.5,110741.14103904022
139,139,1072,0.55,22651.59703071277
140,140,1073,1.0,25122.680343154163
141,141,1074,1.0,24923.301718479022
142,142,1075,0.5,5733.406592801372
143,143,1076,0.25,8761.5693415073
144,144,1077,0.25,707.5594563089013
145,145,1078,0.25,105145.1791248334
146,146,1079,0.25,8504.389488037996
147,147,1080,0.5,13834.974541302476
148,148,1081,0.5,7001.26362800011
149,149,1082,0.5,9406.879709178947
150,150,1083,1.0,29051.87806407161
151,151,1084,1.0,18642.658678081785
152,152,1087,0.5,27136.733730012147
153,153,1088,0.5,9228.742579185377
155,155,1090,0.5,15746.748362437726
156,156,1091,0.5,14009.89327755642
157,157,1092,0.5,37831.56064578064
158,158,1095,0.5,14009.89327755642
159,159,1096,0.5,37831.56064578064
160,160,1097,0.25,10874.743800887743
161,161,1098,0.5,29224.17478616693
162,162,1099,0.5,17256.720360566895
163,163,1100,0.5,18858.980699499527
164,164,1101,0.25,9685.671468333929
165,165,1102,1.0,472577.21650889824
166,166,1103,0.5,15494.33496750486
167,167,1104,0.5,14983.135010912729
168,168,1105,0.5,17461.610104659827
169,169,1106,0.5,10135.804393813894
171,171,1108,0.5,29734.934038218194
172,172,1109,3.1,6987.074284999493
173,173,1110,0.25,7347.792517664828
174,174,1111,0.25,5660.74094555075
175,175,1112,0.25,9261.41514278271
176,176,1113,0.25,16291.147386252402
177,177,1114,0.5,9424.77796076938
178,178,1116,0.5,117024.3263462198
179,179,1117,1.0,1891.4197745686697
180,180,1118,8.0,40399.499224397165
181,181,1119,0.5,12345.193404294974
182,182,1120,0.25,8388.313459266486
183,183,1121,0.5,18814.64933649887
184,184,1122,0.5,9851.99107940633
185,185,1123,0.5,19562.204538610167
186,186,1125,0.5,1640.6010663505688
187,187,1126,1.0,9855.37250385203
188,188,1127,3.05,149406.43204288892
189,189,1128,8.0,91.15013328217115
190,190,1129,0.5,33669.87984505629
191,191,1130,0.5,13804.52771900927
192,192,1131,0.5,10297.62420271368
193,193,1133,0.25,223269.0628998096
194,194,1135,0.25,482.370773507519
195,195,1137,0.5,189942.93583079145
196,196,1138,0.5,14112.42689900705
197,197,1139,0.5,203518.655284854
198,198,1140,0.5,17648.91855057978
199,199,1141,0.5,6956.640189491977
200,200,1142,1.0,28633.3730427184
201,201,1143,0.5,4974.188368183839
202,202,1144,0.5,8691.739674931761
203,203,1147,0.5,10411.434403537423
204,204,1148,0.25,873.0956527329763
205,205,1149,0.5,32206.23343781662
206,206,1153,0.25,69943.73134417793
207,207,1154,0.25,25073.02500472449
208,208,1155,0.25,55318.73424073587
209,209,1156,0.25,16939.35538841854
210,210,1157,0.25,3230.7929990172047
211,211,1158,0.25,10005.97260168349
212,212,1159,0.25,10632.225725466566
213,213,1160,0.25,63124.21753812057
214,214,1164,0.25,7346.627474128818
215,215,1165,0.25,28055.20779472025
216,216,1166,0.25,195941.13380439545
217,217,1167,0.5,91856.24220014855
218,218,1168,0.25,3748.873733502464
219,219,1169,0.5,11677.848149174915
220,220,1170,0.25,118438.0430403352
221,221,1171,0.25,60478.80017425711
222,222,1172,0.25,8122.559755922003
223,223,1173,0.25,2123.0683686759594
224,224,1174,0.5,16004.669240788002
225,225,1176,0.5,2100.7077207676425
226,226,1177,0.5,19307.70485018727
227,227,1178,0.5,2914.431338637916
228,228,1179,0.25,2793.112786669128
229,229,1180,0.5,17600.639220121117
231,231,1183,0.25,2205.405451589504
233,233,1185,0.5,810.3314384259387
234,234,1186,0.5,68476.90237121502
235,235,1187,5.5,13583.65596277624
236,236,1188,0.25,74782.72798259459
237,237,1189,0.5,188986.43306751092
238,238,1190,0.5,42863.10476741574
239,239,1192,0.25,5118.449125513991
240,240,1193,0.5,52538.228392768055
241,241,1194,0.5,5152.2119518872605
242,242,1195,0.25,4235.3323181729065
243,243,1196,0.5,71534.0647222396
244,244,1197,0.25,7356.292343243083
246,246,1200,1.0,47769.4034422842
247,247,1201,0.5,20790.611382506737
248,248,1202,0.5,58951.98614461246
249,249,1203,1.0,24487.34028794649
250,250,1204,0.25,18439.65597097224
251,251,1207,0.5,91686.5961968547
252,252,1208,0.5,949.8690541581216
253,253,1210,0.5,11414.657838814634
254,254,1212,0.25,28508.559133404186
255,255,1213,0.25,589519.8614461247
256,256,1214,0.25,7008.466574119452
257,257,1216,0.5,1305.7244466482578
258,258,1217,1.0,53721.23437638546
259,259,1218,0.25,9572.0401164064
260,260,1219,0.5,11178.784369536384
261,261,1221,0.25,40267.55856420454
262,262,1224,0.25,1044.2225581534256
263,263,1225,0.5,11030.837062247429
264,264,1226,1.05,36540.24883871761
265,265,1227,0.5,98521.91641290272
266,266,1228,0.25,6703.753355966606
267,267,1229,0.25,16851.670297606433
268,268,1230,1.0,52076.2615563808
270,270,1232,0.5,38910.49604634539
271,271,1233,0.5,30064.846968036945
272,272,1234,1.0,26314.408465466324
273,273,1235,0.25,565.1989632417976
274,274,1236,0.5,25236.59553131636
275,275,1238,0.25,20974.254303069705
276,276,1239,0.5,42109.31888009504
277,277,1240,0.25,12979.431870664495
278,278,1242,2.0,53078.63587906028
279,279,1243,0.5,161826.92824491422
280,280,1245,0.25,17955.33298862096
281,281,1246,0.25,3345.7961760731296
282,282,1247,0.5,7582.485972553142
283,283,1248,1.0,870230.9825214151
284,284,1251,1.0,49151.1308250484
285,285,1253,0.5,17512.85611103629
287,287,1256,0.25,13217.00066418301
288,288,1257,1.55,252496.87015248227
289,289,1258,2.05,123028.4032151672
290,290,1259,1.0,7531.017500933432
291,291,1260,0.25,61084.34215823654
292,292,1263,0.25,30808.26207452884
293,293,1264,0.5,1098.8834538618858
294,294,1265,0.5,40399.499224397165
295,295,1266,0.5,30783.890144051464
296,296,1267,1.0,314198.5352671492
297,297,1268,1.0,128824.93375126648
298,298,1269,2.0,68791.061636574
299,299,1271,0.5,15522.609301387169
300,300,1272,1.0,54089.30262810781
301,301,1274,0.25,10687.698207512474
302,302,1275,0.25,9144.979865059038
303,303,1276,0.25,7039.305314190029
305,305,1281,0.5,4095.2545195135103
307,307,1283,12.0,358925.3578192392
308,308,1284,1.05,337538.9978869946
309,309,1285,0.5,166609.13039537868
310,310,1286,1.0,26953.5605002626
311,311,1287,0.5,19354.45474086569
312,312,1288,0.25,67063.91590266477
313,313,1291,0.5,7408.868583933326
314,314,1292,0.5,7711.935013016271
315,315,1293,0.5,5670.895310408514
316,316,1294,0.25,7658.605727211976
317,317,1295,0.25,338.7900953353489
318,318,1297,0.5,10975.93933347934
319,319,1298,0.25,188731.1786644068
320,320,1299,0.25,239313.96197985607
321,321,1302,0.25,3995.794292458423
322,322,1303,0.25,8076.995927284868
323,323,1304,0.25,38375.33966176272
324,324,1305,0.5,181532.76406886
325,325,1306,0.25,13132.332391083382
326,326,1308,0.5,20875.56261242524
327,327,1309,0.25,4553.105424287503
328,328,1310,0.25,6041.763228649299
329,329,1312,0.25,37351.60801072223
330,330,1313,0.25,175345.04871700157
331,331,1314,0.5,2613.4061840369554
332,332,1315,0.25,632.8594660021357
333,333,1316,0.5,39250.07686624663
334,334,1318,0.25,4803.745448798712
335,335,1320,0.25,6101.161268545255
336,336,1321,0.25,3341.5121860909617
337,337,1323,1.0,35769.36908292825
338,338,1324,0.25,8765.43135446041
339,339,1325,0.5,61575.21601035995
340,340,1326,0.25,30129.837043334614
341,341,1328,1.0,27974.751258762903
342,342,1331,0.25,13194.68914507713
343,343,1332,0.25,24740.04214701962
344,344,1333,0.25,252496.87015248227
345,345,1334,0.25,6608.440225262463
346,346,1335,0.25,19798.31690292288
347,347,1336,0.25,6721.465532289771
348,348,1337,0.25,175345.04871700157
349,349,1341,0.25,67292.91463989337
350,350,1342,0.5,11861.7840801708
351,351,1343,0.5,12870.91275935002
352,352,1344,0.5,25867.96117612096
353,353,1345,0.5,1701.59350046429
354,354,1346,0.5,15996.204393915828
355,355,1347,0.5,57255.52611167399
356,356,1349,1.0,36302.84844148205
357,357,1350,0.25,9886.19938176538
358,358,1352,0.25,969.5852481547043
360,360,1355,3.0,86806.53272285165
361,361,1356,0.55,33169.47478990997
362,362,1357,0.5,10252.366934597268
363,363,1358,0.5,11292.454793328512
365,365,1407,0.25,41294.49010218583
366,366,1408,1.0,48741.81002044564
367,367,1410,0.25,54680.54213310664
368,368,1412,0.25,114353.97259066848
369,369,1413,0.25,10865.242270908657
370,370,1414,0.5,92841.03390319431
371,371,1416,0.5,1157833.9724805185
372,372,1417,2.0,37228.79333351178
373,373,1418,0.25,22098.49538292855
374,374,1420,0.25,7972.958716039684
375,375,1424,0.25,4032.8008129322416
376,376,1425,0.5,1372.3022820141375
377,377,1427,1.0,122399.59137651192
378,378,1428,0.25,16347.190106491887
379,379,1429,0.25,4472.11108232137
380,380,1431,0.5,2682.274977674321
381,381,1433,0.5,8069.238908387116
382,382,1439,0.5,705727.3737024111
383,383,1440,1.0,34946.68533827152
384,384,1442,1.0,105746.00871983245
385,385,1443,0.25,37920.00507653305
386,386,1445,0.5,133412.96802244656
387,387,1449,0.5,29832.307381945528
388,388,1450,2.0,64160.98842523769
